2025-05-11 09:30:36,893 - __main__ - INFO - Зарегистрированные маршруты:
2025-05-11 09:30:36,895 - __main__ - INFO - /api/production_plan
2025-05-11 09:30:36,895 - __main__ - INFO - /api/writeoffs
2025-05-11 09:30:36,895 - __main__ - INFO - /api/writeoffs
2025-05-11 09:30:36,895 - __main__ - INFO - /api/receipts
2025-05-11 09:30:36,895 - __main__ - INFO - /api/auth
2025-05-11 09:30:36,895 - __main__ - INFO - /api/kkts
2025-05-11 09:30:36,896 - __main__ - INFO - /static/<path:filename>
2025-05-11 12:18:06,306 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:06,459 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:07,051 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:07,638 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:08,470 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:09,175 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:10,076 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:10,974 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:11,871 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:12,512 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:12,668 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:12,817 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:12,967 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:13,125 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:13,279 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:13,454 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:13,607 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:13,754 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:13,907 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:14,265 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:14,423 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:14,582 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:14,727 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:14,873 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:15,016 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:15,157 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:15,307 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:15,464 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:15,614 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:15,757 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:15,908 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:16,059 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:16,200 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:16,365 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:16,507 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:16,661 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:16,804 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:16,948 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:17,099 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
